,OBJECTID,link_4,link_3,link_2,hyperlink,projectno,year,GlobalID,Shape__Area,Shape__Length,EditYr,Edited,Link1True,Link2True,Link3True,Link4True
51,52, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C158010A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C158010.pdf,C158010,2004.0,{057962F3-E8AF-4051-9365-24CF8604BE56},449802.8242,3152.736239,2020.0,YES,True,True,NoLink,NoLink
52,53, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C234930.pdf,C234930,2006.0,{3729A86C-0426-4237-84C1-5EEE865A276F},449022.8828,3164.393484,,NO,True,NoLink,NoLink,NoLink
53,54, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C70020.pdf,C70020,1999.0,{8ABB0398-B61D-4505-B963-AF5BB4F7A34F},411985.9063,4884.466195,2019.0,NO,True,NoLink,NoLink,NoLink
54,55, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C65210.pdf,C65210,2004.0,{CD9925D7-2EF6-4CC0-B77D-06859D350B95},417973.20700000005,4027.8432119999998,2019.0,YES,True,NoLink,NoLink,NoLink
55,56, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C369630.pdf,C369630,2011.0,{B646EDAD-77AF-467F-9AD3-15485DA42055},390406.3867,7371.222355,,NO,True,NoLink,NoLink,NoLink
56,57, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C79610.pdf,C79610,2001.0,{153F296F-EB52-4EDA-9CEB-9081BD297C4F},382505.8906,3507.643616,2020.0,YES,True,NoLink,NoLink,NoLink
57,58, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G31110.pdf,G31110,0.0,{8F09354F-824B-421B-B69D-A9973977F040},358676.8672,3307.101745,,NO,True,NoLink,NoLink,NoLink
58,59, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G22310.pdf,G22310,1987.0,{7E7628B1-134B-4E3F-9BED-609AD53E4932},354047.9336,3238.494442,,NO,True,NoLink,NoLink,NoLink
59,60, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/97380.pdf,97380,1987.0,{379B06BE-B69D-4048-B3A4-F14BDC045FC6},348827.3945,2709.9941949999998,,NO,True,NoLink,NoLink,NoLink
60,61, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C69710.pdf,C69710,1998.0,{86E7169F-6E56-4AA9-ABB4-DF2E737C36F9},327324.4297,2637.691058,2019.0,YES,True,NoLink,NoLink,NoLink
61,62, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/SAD_5098.pdf,SAD 5098,1975.0,{198A0690-16CC-431C-9EDE-70091A022FDA},327826.8984,2499.336134,,NO,True,NoLink,NoLink,NoLink
62,63, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C59610.pdf,C59610,1997.0,{F31C0567-ED5F-4DEF-8B0A-92BAA4003212},289418.4023,2674.267039,,NO,True,NoLink,NoLink,NoLink
63,64, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C47110.pdf,C47110,1992.0,{85C531EC-2A68-4C84-A8F2-5CD84F3854E2},284634.9063,3430.374975,,NO,True,NoLink,NoLink,NoLink
64,65, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C69910.pdf,C69910,1999.0,{635F6E74-8FF5-4A32-B9F1-A432863F61CE},281596.9492,4792.050131,,NO,True,NoLink,NoLink,NoLink
65,66, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C41810.pdf,C41810,1992.0,{27C0B60C-D3F5-4C8E-A90C-59BCC9505C9F},20411.84766,1264.802281,2020.0,YES,True,NoLink,NoLink,NoLink
66,67, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C78300.pdf,C78300,1998.0,{E0686C1B-EDBA-4CDF-8DE1-87418C636D15},264739.9648,5048.932471,,NO,True,NoLink,NoLink,NoLink
67,68, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/73860.pdf,73860,1988.0,{FE539C86-5757-4957-835A-AA2CBF853949},262108.9102,2755.760115,,NO,True,NoLink,NoLink,NoLink
68,69,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_4293C.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_4293B.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_4293A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_4293.pdf,Tract No 4293,1981.0,{230E6075-11E8-446C-A33A-E84B4759F492},257381.9258,2486.0292879999997,,NO,True,True,True,True
69,70, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C69510A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C69510.pdf,C69510,2000.0,{3B25D720-8D23-4F2C-8CA6-FBD85F7B64BB},57146.76953,4167.670889,2019.0,YES,True,True,NoLink,NoLink
70,71, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C74910.pdf,C74910,1999.0,{52429BE1-EF28-4A9F-8027-2057BFF58DBF},228601.4023,3469.319669,,NO,True,NoLink,NoLink,NoLink
71,72, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C47810.pdf,C47810,1992.0,{2411B354-EAEF-4513-B7EF-462FF099BAA0},222727.0039,5612.136772,,NO,True,NoLink,NoLink,NoLink
72,73, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G30900%2879100%29.pdf,G30900,1989.0,{C5B503B8-22F1-4E77-8BAB-3CA50A5B66B1},222124.0156,9267.886788,,NO,True,NoLink,NoLink,NoLink
73,74, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C44210.pdf,C44210,1991.0,{1294CE51-6851-43AD-BBFF-F44850E52973},217323.9336,3543.4780020000003,,NO,True,NoLink,NoLink,NoLink
74,75, ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/SAD_5143B.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/SAD_5143A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/SAD_5143.pdf,SAD 5143,1971.0,{24DC36E3-A7AB-41C6-BB4C-4ADA84BFAC9F},207794.9609,2027.918501,,NO,True,True,True,NoLink
75,76, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C-06-4003-47.pdf,C-06-4003-47,0.0,{A3524F29-9B73-4E80-9404-1AC04D76655D},193533.3516,10800.87629,,NO,True,NoLink,NoLink,NoLink
76,77, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C63710.pdf,C63710,1993.0,{67C63612-95ED-4D6F-A144-DE182D239250},186099.4414,1592.097033,,NO,True,NoLink,NoLink,NoLink
77,78, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C73210.pdf,C73210,1995.0,{446C3C90-7412-497F-881F-51CE9671F50A},184876.9258,1557.003454,,NO,True,NoLink,NoLink,NoLink
78,79, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C65120.pdf,C65120,2003.0,{8807133C-D688-44E2-AA7A-4FF58F219F0D},182706.9375,4135.5832,2019.0,YES,True,NoLink,NoLink,NoLink
79,80, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C369630.pdf,C369630,2011.0,{9B0A6BBA-7E2B-4A13-8240-2C39C97249DA},174578.7539,7563.187341,,NO,True,NoLink,NoLink,NoLink
80,81, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C369630.pdf,C369630,2011.0,{7C318A2E-B467-40F9-B447-D1C0DABA87CD},172320.4844,5265.096256,,NO,True,NoLink,NoLink,NoLink
81,82, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_5010.pdf,Tract No 5010,1983.0,{FFFD51A0-E6D1-49B4-99B0-7CBB8778A26B},65592.98438,1026.6698310000002,,NO,True,NoLink,NoLink,NoLink
82,83, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C-06-4003-46.pdf,C-06-4003-46,0.0,{54C24DB9-BE6A-43CA-8A9D-D57AC9315F82},168154.4961,9064.025128,,NO,True,NoLink,NoLink,NoLink
83,84, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G30510%2884820%29.pdf,G30510,0.0,{B765ADE3-5603-4DCD-8D2D-3D477CC68BFA},164787.8633,3335.217337,,NO,True,NoLink,NoLink,NoLink
84,85, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G30800%2879110%29.pdf,G30800,1987.0,{782DBDF8-0B76-432B-B14B-7DB381769AE8},161749.4141,6119.471018,2020.0,YES,True,NoLink,NoLink,NoLink
85,86, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/W833.pdf,W833,2007.0,{83A05D3E-450B-455D-91FB-0E316255B985},154033.9141,2175.01157,,NO,True,NoLink,NoLink,NoLink
86,87, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C81110.pdf,C81110,1999.0,{87EBF831-37AD-4E72-826D-AEB986E7E0A1},49422.16016,2976.341945,2019.0,YES,True,NoLink,NoLink,NoLink
87,88, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C282870.pdf,C282870,2007.0,{A7DDD1FE-DC12-4421-9DFB-14439C40ECA8},145318.9297,1995.4928510000002,,NO,True,NoLink,NoLink,NoLink
88,89, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_2230.pdf,Tract No 2230,1960.0,{836E6036-6B94-4E76-BD9D-FDD89C01506D},141002.9688,1733.955136,,NO,True,NoLink,NoLink,NoLink
89,90, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/97420.pdf,97420,1987.0,{F0CD65CD-CA5E-42E8-9E37-3E2A3F89BDEC},5360.195313,1829.4594670000001,2020.0,YES,True,NoLink,NoLink,NoLink
90,91, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C52510.pdf,C52510,1997.0,{9C5C4529-D42B-4451-9C89-F5493F5EAC3D},133901.4453,1371.723734,,NO,True,NoLink,NoLink,NoLink
